
2025-07-24 02:52:48,360 - Step 4260, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,779,908.84
2025-07-24 02:53:24,898 - Step 4320, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,420,428.74
2025-07-24 02:54:01,731 - Step 4380, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,478,570.48
2025-07-24 02:54:38,752 - Step 4440, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,496,153.91
2025-07-24 02:55:15,669 - Step 4500, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=14,584,822.21
2025-07-24 02:55:53,169 - Step 4560, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,530,989.11
2025-07-24 02:56:30,446 - Step 4620, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=19,282,670.08
2025-07-24 02:57:07,491 - Step 4680, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,410,195.95
2025-07-24 02:57:46,260 - Step 4740, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,197,364.62
2025-07-24 02:58:25,394 - Step 4800, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,493,536.91
2025-07-24 02:59:03,702 - Step 4860, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,688,610.07
2025-07-24 02:59:41,741 - Step 4920, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=16,769,586.62
2025-07-24 03:00:20,525 - Step 4980, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,995,810.31
2025-07-24 03:00:59,000 - Step 5040, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,869,638.72
2025-07-24 03:01:38,091 - Step 5100, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,281,649.84
2025-07-24 03:02:17,019 - Step 5160, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,033,455.25
2025-07-24 03:02:57,028 - Step 5220, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=16,698,681.04
2025-07-24 03:03:36,974 - Step 5280, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,410,530.77
2025-07-24 03:04:17,591 - Step 5340, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,612,675.35
2025-07-24 03:04:57,789 - Step 5400, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,244,883.80
2025-07-24 03:05:38,619 - Step 5460, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,966,828.66
2025-07-24 03:06:19,410 - Step 5520, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,609,450.21
2025-07-24 03:07:01,217 - Step 5580, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,193,758.05
2025-07-24 03:07:42,492 - Step 5640, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=2,475,890.95
2025-07-24 03:08:24,419 - Step 5700, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,728,037.10
2025-07-24 03:09:05,748 - Step 5760, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,997,720.15
2025-07-24 03:09:48,333 - Step 5820, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,756,372.80
2025-07-24 03:10:31,277 - Step 5880, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=1,652,853.10
2025-07-24 03:11:14,073 - Step 5940, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,354,156.05
2025-07-24 03:11:56,979 - Step 6000, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,787,262.54
2025-07-24 03:12:39,805 - Step 6060, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,147,223.00
2025-07-24 03:13:22,863 - Step 6120, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,807,044.43
2025-07-24 03:14:06,194 - Step 6180, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,472,066.90
2025-07-24 03:14:50,394 - Step 6240, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,249,430.72
2025-07-24 03:15:33,789 - Step 6300, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,096,847.10
